dataset,Outside Temperature,Avg. Temperature,RH,va,Tg,Gender,Age,Height,Weight,Duration,Icl,Thermal feeling (global)
1,15.2,21.38,68.9,0.09,21.75,1,48,178,68,22.5,0.78725,0
1,15.41,21.44,68.6,0.09,21.81,0,26,165,58,7.5,0.7121000000000001,1
2,5.2,12.83,74.57,0.44,12.81,0,62,162,60,7.5,1.1964,-1
2,5.3,13.274999999999999,72.64,0.0,12.435,0,36,163,65,7.5,0.8457,0
2,5.3,13.275,72.695,0.0,12.435,1,44,190,100,7.5,1.38845,-2
2,5.3,12.59,78.67,0.13,11.63,0,31,170,55,7.5,1.4469,1
2,5.6,12.925,72.94999999999999,0.0,12.375,1,33,188,85,7.5,1.1296,-1
2,5.6,12.29,76.63,0.1,11.5,0,23,168,68,22.5,1.07115,-1
2,5.5,11.43,75.47,0.12,12.31,0,77,165,62,7.5,1.30495,-2
2,5.5,11.95,81.54,0.04,11.31,0,22,178,80,7.5,1.0628,0
2,5.6,11.96,78.975,0.03,11.625,0,25,163,65,7.5,1.1463,0
2,5.6,11.96,78.975,0.03,11.625,0,82,165,62,7.5,1.15465,-2
2,5.5,11.96,79.94,0.03,11.655000000000001,0,27,168,57,37.5,0.98765,0
2,5.4,11.69,77.94,0.03,10.75,1,38,187,69,7.5,0.8958,0
2,5.3,11.44,81.3,0.06,11.0,1,33,174,61,7.5,1.30495,0
2,5.2,11.41,77.89,0.03,10.56,1,73,167,83,7.5,1.05445,0
2,5.4,10.87,77.71000000000001,0.03,10.875,1,61,176,80,7.5,1.00435,-1
2,5.4,10.885,77.955,0.03,10.844999999999999,1,38,183,60,7.5,1.23815,-2
2,5.6,10.71,78.53,0.12,10.13,1,35,189,87,7.5,1.3133,-2
2,5.6,10.64,79.56,0.03,9.81,1,47,184,81,22.5,0.8958,-1
2,5.6,11.975,72.59,0.01,12.030000000000001,0,35,176,67,7.5,1.1129,0
2,5.9,11.0,84.67,0.03,10.13,0,27,160,60,7.5,1.2298,1
2,5.9,12.120000000000001,73.035,0.0,12.125,0,55,170,74,7.5,0.9793,0
2,6.0,11.51,78.53,0.12,10.5,1,26,190,90,7.5,1.23815,2
2,6.0,11.51,78.53,0.12,10.5,0,85,163,76,7.5,1.28825,-3
2,6.0,11.184999999999999,82.245,0.04,10.94,0,83,157,53,22.5,1.1964,-2
2,6.0,11.27,82.69,0.07,11.0,0,86,164,61,22.5,1.2465,-3
2,6.1,11.415,83.11,0.03,11.065000000000001,0,83,169,70,22.5,1.1129,-3
2,6.3,11.76,86.16,0.06,10.69,0,49,160,50,22.5,1.0795,0
2,6.3,12.45,79.76,0.11,11.12,0,71,162,51,22.5,1.15465,0
2,6.2,11.86,85.8,0.06,10.69,1,52,186,95,22.5,1.07115,0
2,6.3,14.555,68.695,0.02,13.934999999999999,1,35,177,78,7.5,1.30495,2
2,6.3,13.635000000000002,75.935,0.03,12.97,1,35,173,65,7.5,1.2632,-2
2,6.4,14.61,77.09,0.1,12.63,1,47,183,90,7.5,1.33835,2
2,6.4,14.61,77.09,0.1,12.63,0,60,178,84,7.5,1.07115,0
2,6.8,13.54,74.15,0.35,13.56,0,23,168,72,22.5,1.15465,-1
2,6.8,13.805,75.38,0.03,13.184999999999999,0,33,172,62,7.5,1.30495,-3
2,6.8,15.48,75.4,0.1,12.88,1,45,175,130,22.5,0.8958,1
2,6.8,15.225,72.20500000000001,0.01,14.84,1,34,165,62,7.5,1.25485,0
2,6.4,14.5,72.59,0.09,13.31,0,77,170,57,7.5,1.33,2
2,6.5,13.11,73.08500000000001,0.03,12.94,1,25,198,98,7.5,0.9793,0
2,6.5,12.52,72.93,0.09,12.0,0,63,172,63,7.5,1.163,0
2,6.6,12.18,76.62,0.07,11.69,1,27,183,110,7.5,0.8624,0
2,6.6,12.7,73.9,0.1,12.06,0,85,160,62,7.5,1.10455,-3
2,6.6,13.785,66.03,0.01,13.94,0,14,153,50,7.5,1.2465,0
2,6.7,12.75,73.525,0.05,12.530000000000001,0,53,173,69,7.5,1.33835,-2
2,6.7,12.04,76.94,0.09,11.56,0,18,158,60,7.5,1.1964,-1
2,6.7,12.08,77.24,0.07,11.56,1,31,177,72,7.5,1.05445,0
2,6.8,12.52,74.52,0.03,12.435,1,20,175,65,22.5,1.1296,-2
2,7.0,12.235,75.695,0.03,12.219999999999999,0,41,177,60,22.5,1.2799,-2
2,7.0,12.2,73.31,0.27,12.69,0,66,162,62,7.5,1.15465,0
2,7.4,13.445,68.03999999999999,0.0,13.690000000000001,1,20,186,75,22.5,1.22145,2
2,7.2,12.8,76.03,0.06,12.0,1,23,168,72,22.5,1.15465,-2
2,7.3,15.476,69.79,0.02,13.06,1,24,190,79,7.5,0.98765,0
2,7.3,14.24,71.43,0.09,13.06,0,23,168,75,7.5,1.15465,-1
2,7.5,16.15,71.8,0.12,13.94,0,29,175,69,7.5,1.35505,2
2,7.6,16.705,63.86,0.02,16.375,1,24,177,75,7.5,0.97095,1
2,7.6,16.7,72.51,0.2,14.06,0,48,163,53,7.5,1.4803,0
2,7.6,17.31,69.44,0.02,14.38,0,31,168,60,22.5,1.23815,2
2,7.6,16.89,73.32,0.14,14.13,1,70,173,85,7.5,0.9626,1
2,7.4,17.05,70.59,0.12,14.06,0,49,166,50,7.5,1.1964,0
2,7.3,15.945,69.67,0.04,14.875,1,19,170,70,7.5,1.00435,-1
2,7.5,16.66,63.15,0.02,16.97,1,55,186,79,7.5,0.9793,0
2,7.8,17.8,70.43,0.16,14.63,1,32,181,68,7.5,1.5304,0
2,7.7,16.46,71.02,0.16,14.63,1,25,162,70,22.5,1.163,0
2,7.7,16.17,70.5,0.07,15.22,0,40,156,73,22.5,1.2298,0
2,7.5,18.270000000000003,60.075,0.02,18.155,0,25,168,60,7.5,1.17135,0
2,7.5,14.785,60.58,0.02,18.215,1,26,185,70,7.5,1.22145,0
2,7.6,16.87,68.73,0.27,15.63,0,30,178,70,7.5,1.4302,0
2,7.9,17.57,67.29,0.07,15.69,1,16,193,90,22.5,0.8624,2
2,8.1,19.244999999999997,60.255,0.03,19.0,0,33,173,61,22.5,1.27155,1
2,7.9,19.45,58.989999999999995,0.03,19.185000000000002,0,37,160,0,7.5,1.4302,-1
3,7.9,12.375,45.230000000000004,0.03,12.434999999999999,0,18,169,70,5.0,1.02105,-1
3,7.9,11.86,45.21,0.03,11.44,1,35,189,85,7.5,0.8457,-2
3,8.1,11.38,51.56,0.16,11.25,0,33,165,61,10.0,1.3467,-1
3,8.1,12.24,46.62,0.02,11.75,0,29,162,63,10.0,1.1129,-1
3,8.4,11.6,51.48,0.09,11.44,1,49,193,100,12.5,0.8958,0
3,8.4,12.985,47.364999999999995,0.03,12.91,0,44,158,65,5.0,0.6703500000000001,0
3,8.4,12.61,46.5,0.0,12.75,1,45,176,76,17.5,0.9208500000000002,-1
3,8.5,12.69,47.37,0.03,12.19,1,34,170,89,20.0,0.9292,-1
3,8.9,12.92,46.66,0.02,12.44,1,27,185,94,2.5,1.3467,-2
3,8.5,13.13,45.83,0.02,12.63,0,22,163,58,2.5,1.40515,-1
3,8.5,12.49,51.48,0.19,12.31,0,57,168,58,5.0,1.15465,-2
3,8.6,14.25,42.53,0.02,13.81,0,20,163,66,7.5,0.95425,0
3,8.9,14.78,43.65,0.02,14.25,1,17,179,64,12.5,1.10455,2
3,9.3,15.06,44.49,0.02,14.5,0,37,160,78,17.5,1.1463,0
3,9.2,15.06,41.84,0.02,14.69,0,50,167,68,7.5,1.30495,-2
3,9.9,14.83,38.04,0.02,14.56,1,16,175,55,17.5,0.7288,0
3,9.8,15.87,45.78,0.19,14.63,0,60,170,79,5.0,1.3634,-1
3,10.1,17.26,44.97,0.22,16.06,1,16,161,43,2.5,0.5785,2
3,10.5,18.51,37.87,0.0,17.94,1,18,181,70,7.5,0.67035,0
3,10.6,19.14,37.03,0.0,18.06,1,32,184,71,27.5,0.68705,-2
3,10.3,19.37,34.89,0.01,18.44,0,51,174,56,2.5,1.10455,0
3,10.3,19.3,34.89,0.01,18.44,0,57,173,68,7.5,1.2799,-2
3,10.2,19.2,34.99,0.01,18.5,0,38,164,65,22.5,1.30495,1
3,10.1,19.06,35.47,0.01,18.56,1,35,189,85,37.5,1.13795,-1
3,10.2,19.175,37.144999999999996,0.11,18.815,1,17,183,74,5.0,0.8791,2
3,10.3,19.195,37.14,0.11,18.78,0,18,163,52,5.0,1.2799,0
3,10.2,19.58,34.01,0.0,18.69,1,27,185,94,7.5,1.17135,1
3,10.1,19.155,35.25,0.08,18.905,0,61,172,85,7.5,0.8457,0
3,10.2,18.54,33.504999999999995,0.05,18.56,0,65,163,69,2.5,0.996,0
3,10.0,18.4,33.97,0.01,18.19,0,55,150,60,2.5,1.1463,0
3,10.0,19.11,37.1,0.02,19.69,0,0,167,100,5.0,0.9459,-1
3,9.9,19.75,38.82,0.12,19.0,1,60,168,78,7.5,0.8958000000000002,-2
3,10.3,19.06,36.51,0.01,18.75,1,40,181,85,7.5,1.57215,0
3,10.1,19.700000000000003,33.77,0.1,19.78,1,36,192,83,2.5,1.15465,0
3,10.1,17.96,43.34,0.26,18.25,0,26,176,59,20.0,0.8290000000000001,-1
3,10.1,19.37,32.25,0.02,20.19,0,16,173,63,2.5,0.996,1
3,9.9,19.74,31.98,0.02,20.31,1,33,189,105,7.5,1.17135,1
3,10.0,18.98,33.37,0.01,18.94,0,87,166,69,12.5,1.30495,0
3,9.9,19.475,34.03,0.07,19.875,1,49,170,64,5.0,1.2298,-1
3,10.0,18.87,34.99,0.01,18.87,0,36,173,62,7.5,1.03775,-2
3,10.2,19.02,32.66,0.02,19.81,0,23,165,65,5.0,0.8457,0
3,10.4,18.62,35.0,0.01,18.5,1,0,0,0,7.5,0.93755,-3
3,10.4,19.15,34.43,0.01,18.69,1,40,185,80,2.5,1.2966,1
4,14.5,18.26,52.56,0.05,17.37,1,35,189,85,5.0,0.996,-1
4,14.6,17.99,51.49,0.06,18.06,1,17,183,70,5.0,1.4135,-1
4,14.3,18.145,51.69,0.05,18.78,1,31,178,70,5.0,1.1463,1
4,13.9,18.049999999999997,58.2,0.08,18.155,0,36,169,64,5.0,1.17135,2
4,13.7,17.26,58.08,0.01,17.87,0,83,175,70,10.0,1.1463,1
4,13.5,18.75,55.425,0.06,19.37,0,35,158,50,5.0,0.98765,2
4,13.6,18.755,55.17,0.06,19.37,1,38,174,81,32.5,1.1463,2
4,13.3,18.68,51.31,0.01,17.5,1,31,189,82,5.0,1.3467,2
4,13.2,18.76,60.38,0.04,18.12,0,17,171,93,10.0,1.18805,0
4,13.1,18.21,59.28,0.05,17.81,0,47,160,72,2.5,1.18805,2
4,13.1,18.76,63.95,0.05,18.06,0,26,173,63,5.0,1.23815,2
4,13.1,18.76,63.32,0.03,18.12,0,42,163,67,20.0,0.9292,2
4,13.0,18.62,61.32,0.04,18.19,0,11,146,38,22.5,1.1797,0
4,13.1,17.55,60.62,0.01,18.5,0,61,167,0,7.5,0.67035,2
4,12.9,19.04,64.695,0.04,18.560000000000002,0,45,170,75,10.0,0.88745,1
4,12.8,18.805,63.65,0.04,18.53,0,38,157,57,2.5,1.0795,0
4,12.8,18.805,63.65,0.04,18.53,1,38,183,100,2.5,0.9626,0
