dataset,Outside Temperature,Avg. Temperature,Temperature difference,RH,va,Tg,Age,Male,Female,Height,Weight,Well-being,Duration,Icl,Alley,Window,y
August,19.1,22.92,1.75,52.37,0.3,22.87,24,0,1,173.0,58.0,1.0,22.5,0.7956,1,0,-1
August,19.1,22.99,2.31,56.12,0.29,22.75,53,1,0,190.0,99.0,1.0,22.5,0.4616,0,1,1
August,19.2,23.01,2.22,56.0,0.29,22.75,28,1,0,182.0,98.0,1.0,52.5,0.7622,0,1,0
August,19.2,23.84,1.25,54.05,0.13,23.87,64,1,0,180.0,105.0,0.0,7.5,0.90415,0,1,1
August,19.2,23.86,1.25,54.78,0.11,23.87,17,1,0,189.0,73.0,1.0,22.5,0.4616,0,1,0
August,18.9,22.31,2.55,53.97,0.28,22.13,17,1,0,189.0,84.0,1.0,7.5,0.63695,0,1,1
August,18.6,22.36,2.83,54.62,0.32,22.31,41,0,1,164.0,60.0,2.0,22.5,0.7622,1,0,-1
August,18.6,23.84,1.09,55.55,0.14,23.81,43,1,0,178.0,84.0,1.0,22.5,0.6703500000000001,1,0,1
August,17.91,23.8,1.03,55.99,0.14,23.87,39,1,0,188.0,79.0,1.0,7.5,0.60355,0,1,0
August,17.8,22.11,2.92,55.71,0.36,22.25,25,0,1,150.0,44.0,1.0,7.5,0.7288,0,1,0
August,18.0,22.7,1.81,52.5,0.13,23.25,25,1,0,165.0,45.0,1.0,7.5,0.8540500000000001,1,0,0
August,18.0,23.7,1.15,56.31,0.12,23.87,44,0,1,173.0,85.0,1.0,7.5,0.75385,1,0,0
August,18.1,21.89,2.79,55.93,0.29,21.87,20,1,0,180.0,85.0,1.0,7.5,0.8791,1,0,-1
August,17.7,21.91,1.94,57.59,0.23,21.75,85,0,1,185.0,76.0,-1.0,7.5,0.77055,0,1,0
August,17.6,23.745,1.15,51.28,0.26,23.965,47,1,0,182.0,84.0,1.0,7.5,0.90415,1,0,-1
August,17.7,23.825000000000003,1.345,50.375,0.245,23.815,81,0,1,155.0,59.0,1.0,22.5,0.9626,0,1,1
August,17.7,23.84,1.46,50.535,0.2,23.810000000000002,18,0,1,163.0,57.0,1.0,7.5,0.5116999999999999,0,1,0
August,17.8,22.09,2.18,58.36,0.39,22.31,63,0,1,176.0,62.0,1.0,7.5,1.1296,0,1,1
August,17.8,22.31,1.81,54.79,0.11,22.75,57,0,1,167.0,68.0,1.0,7.5,0.55345,1,0,0
